Museum,MuseumCat,Subspecies,Island,CPL,CIL,UTL,MTL,PPL,MB,LIB,ZB,BB,LPL,CNL,PBPL,LCH,MH,MCH,MCW,MCIL,LTL,Sex,Type
USNM,missing,continentis,Malay Peninsula,36.13,35.35,17.39,12.7,18.43,15.71,8.67,,14.27,,35.58,22.38,,11.7,6.25,2.63,26.32,16.07,unknown,
USNM,121855,continentis,Pini (Batu),35.45,34.71,16.99,12.14,18.16,14.82,8.04,20.83,14.02,36.48,34.58,21.61,8.78,11.63,6.47,2.64,25.4,15.48,m,
BMNH,78.2938,continentis,Siberut (Mentawai),36.53,36.12,17.57,12.48,18.5,15.23,8.66,21.99,15.2,38.24,35.7,22.48,8.81,11.22,6.22,2.77,26.43,16.02,m,
BMNH,78.2939,continentis,Siberut (Mentawai),36.85,36.57,17.81,12.91,18.01,15.52,9.36,22.74,15.54,38.38,35.93,21.76,8.89,11.82,6.99,2.63,26.88,16.31,unknown,
BMNH,55.662,lowii,Borneo,35.49,34.81,17.12,12.39,17.91,,7.8,21.4,13.78,35.95,34.82,21.01,8.47,11.95,6.5,2.82,25.3,16.05,f,
BMNH,76.528,lowii,Borneo,37.24,36.54,17.84,13,18.65,15.88,8.6,,14.59,39.16,36.48,22.84,9.22,12.68,6.89,2.9,27.87,16.28,m,
BMNH,1934.561,lowii,Borneo,36.12,35.26,17.28,12.55,18.17,15.59,8.21,21.84,14.64,36.84,35.71,21.9,8.67,11.87,6.33,2.8,26.32,16.29,m,
FMNH,57450,lowii,Borneo,,,17.47,12.36,19.16,15.64,8.5,22.53,14.48,38.16,,22.74,,12.2,6.4,,26.41,15.82,f,
FMNH,76855,lowii,Borneo,35.22,34.59,16.84,12.26,17.88,15.6,8.12,,14.57,36.84,34.86,,8.8,11.75,6.18,2.94,25.63,15.42,m,
MCZ,35380,lowii,Borneo,35.4,34.61,17.2,12.47,18.17,14.84,8.3,20.7,14.4,36.31,34.49,21.58,8.49,11.8,6.65,2.89,25.25,16.16,m,
OUMNH,8974,lowii,Borneo,,,17.94,13.11,18.47,15.95,8.91,22.85,14.63,38.84,,21.97,,12.58,6.92,,27.48,16.8,unknown,
YPM,10179,lowii,Borneo,,,16.65,12.15,17.63,,8.32,,14.7,36.13,,20.63,,11.44,6.52,2.74,25.19,15.27,unknown,
